time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
232,9.136273,-8.092402,-5.876568,-2.046698,4.637779,2.013391
233,12.314576,-7.559692,-14.585477,-0.920361,-2.019786,1.526830
234,1.578976,-2.815581,-0.149638,-0.065816,-2.737902,-1.264098
235,-2.887407,-5.814319,-4.532224,2.177798,-0.784998,2.409887
236,-3.614048,-6.771999,-1.859098,0.336542,0.592080,-2.288646
237,8.495825,-12.494142,-9.436746,-1.228659,1.664591,-0.640309
238,7.422025,-7.354988,-11.253945,-0.842554,-1.546548,2.477302
239,-2.246958,-2.310405,-3.645172,-0.110848,-4.590615,2.279587
240,-8.927979,-0.021548,-3.399766,0.114845,1.433568,1.260634
241,-7.123947,-5.413290,-4.735731,0.798322,0.907305,-2.024582
242,-2.069787,-12.701240,-7.004237,-0.051161,0.353063,-0.746361
243,-3.897760,-6.174646,-5.773617,0.739167,0.568631,1.679513
244,-1.019930,-10.600328,-12.125435,-0.103121,-0.151351,-0.717317
245,-7.357382,-3.755305,-0.665588,0.752757,-0.849749,-0.384239
247,-0.787692,-7.927202,-7.295133,-0.529194,1.658995,-1.242515
248,-0.737414,-7.661446,-4.875792,-0.324285,0.477501,-0.280319
249,2.275689,-9.228451,-10.506954,-0.769810,0.492689,0.187057
250,-0.086191,-6.906075,-8.263587,-0.120708,-0.137228,0.330413
251,-0.896629,-6.981492,-7.796718,0.075409,0.020518,0.178530
252,-0.720655,-8.244433,-8.057686,0.047963,-0.389302,0.114046
253,-1.349133,-7.356185,-7.523779,-0.064750,0.390634,0.920361
254,-1.444901,-6.262034,-8.627506,0.504147,0.493755,0.363721
255,-0.494403,-7.852982,-7.972692,-0.405023,0.854812,-0.125237
256,-0.482432,-5.424064,-10.587160,-0.079672,-0.891850,-0.601939
257,-0.508768,-7.852982,-6.924031,-0.187590,-1.200680,-1.871100
258,-0.519542,-7.666234,-8.473080,0.266196,0.316824,0.350665
259,-0.481235,-6.878541,-7.603985,0.011991,-0.061020,-0.659228
260,-0.210690,-7.936779,-7.643489,0.268328,0.003997,-0.054092
261,-0.023942,-7.593211,-7.818265,0.161210,-0.118043,-0.464178
262,0.056264,-7.921216,-7.511808,0.097525,0.060221,0.057822
263,0.075417,-7.520187,-7.478289,-0.071678,-0.186790,-0.523066
264,-0.075417,-7.123947,-7.017405,0.396763,0.194251,0.220098
265,0.688333,-8.072051,-7.195773,-0.046631,-0.140692,-0.743963
266,0.563834,-7.898471,-7.116765,0.435933,-0.116711,0.263798
268,1.077391,-8.489840,-7.030573,-0.219832,-0.269394,-1.080239
269,1.283292,-7.781156,-6.839037,-0.023982,0.468441,0.164407
270,1.392228,-8.301894,-7.395689,0.025314,-0.325084,-0.299504
271,1.393425,-8.109161,-7.271191,0.103654,0.323752,0.306165
272,1.649605,-8.395268,-7.638700,-0.111381,-0.151351,-0.436732
273,1.364695,-8.022970,-6.933608,0.085534,0.198781,0.257136
274,1.356315,-8.001422,-7.040150,-0.148953,-0.002931,-0.435133
275,1.534683,-7.665037,-6.964733,-0.057556,0.288046,-0.178530
276,2.337938,-8.426393,-7.077260,-0.650968,0.007461,-0.679213
277,2.523489,-7.441179,-7.856573,-0.138294,0.186790,0.337075
278,2.725799,-7.715315,-8.268375,-0.134564,0.116711,-0.400493
279,2.600103,-8.030152,-7.746439,0.289911,-0.244613,0.155614
280,2.284068,-8.080431,-7.255628,0.256337,-0.649103,-0.324818
281,1.691504,-7.326257,-7.018602,0.040769,-0.491623,-0.079139
282,1.800440,-8.204929,-6.293159,0.129234,-0.237951,0.081538
283,1.801637,-7.611167,-7.219715,0.251807,0.235819,0.073544
284,2.009932,-8.344990,-6.719327,0.214502,0.029577,0.037571
285,2.383428,-8.374918,-7.375339,-0.040236,-0.124971,0.217700
286,2.214637,-8.376115,-7.832631,-0.089798,-0.230757,0.230224
287,1.614889,-7.363368,-7.249643,-0.130300,0.163608,0.164141
289,1.657985,-7.710526,-6.822278,-0.091130,-0.019185,0.036772
290,1.580173,-7.955932,-7.410054,0.037571,-0.248343,0.447657
