,time,x,y
211,2021-12-20 00:55:16.018934,1.0,2.0
212,2021-12-20 00:55:16.188240,1.0,2.0
213,2021-12-20 00:55:16.362221,2.0,2.0
214,2021-12-20 00:55:16.536755,1.0,2.0
215,2021-12-20 00:55:16.708363,1.0,2.0
216,2021-12-20 00:55:16.880354,2.0,2.0
217,2021-12-20 00:55:17.051808,1.0,1.0
218,2021-12-20 00:55:17.226193,0.0,0.0
219,2021-12-20 00:55:17.394619,2.0,2.0
220,2021-12-20 00:55:17.678611,2.0,2.0
221,2021-12-20 00:55:17.882394,0.0,1.0
222,2021-12-20 00:55:18.049997,2.0,2.0
223,2021-12-20 00:55:18.264330,0.0,1.0
224,2021-12-20 00:55:18.464454,2.0,2.0
225,2021-12-20 00:55:18.671434,0.0,1.0
226,2021-12-20 00:55:18.843591,0.0,2.0
227,2021-12-20 00:55:19.024507,0.0,1.0
228,2021-12-20 00:55:19.198559,0.0,2.0
229,2021-12-20 00:55:19.361808,0.0,0.0
230,2021-12-20 00:55:19.529686,0.0,1.0
231,2021-12-20 00:55:19.679292,1.0,2.0
232,2021-12-20 00:55:19.864270,1.0,2.0
233,2021-12-20 00:55:20.014402,2.0,2.0
234,2021-12-20 00:55:20.185565,2.0,2.0
235,2021-12-20 00:55:20.324040,0.0,1.0
236,2021-12-20 00:55:20.495469,0.0,1.0
237,2021-12-20 00:55:20.633408,0.0,1.0
238,2021-12-20 00:55:20.773902,0.0,1.0
239,2021-12-20 00:55:20.945837,0.0,1.0
240,2021-12-20 00:55:21.120049,0.0,0.0
241,2021-12-20 00:55:21.272350,0.0,0.0
242,2021-12-20 00:55:21.426906,0.0,1.0
243,2021-12-20 00:55:21.563930,0.0,1.0
244,2021-12-20 00:55:21.736789,1.0,1.0
245,2021-12-20 00:55:21.874567,1.0,1.0
246,2021-12-20 00:55:22.048946,0.0,0.0
247,2021-12-20 00:55:22.220722,0.0,0.0
248,2021-12-20 00:55:22.392844,1.0,1.0
249,2021-12-20 00:55:22.561564,0.0,0.0
250,2021-12-20 00:55:22.705816,0.0,1.0
251,2021-12-20 00:55:22.872272,0.0,0.0
252,2021-12-20 00:55:23.014592,0.0,0.0
253,2021-12-20 00:55:23.181677,0.0,0.0
254,2021-12-20 00:55:23.325007,1.0,1.0
255,2021-12-20 00:55:23.467812,0.0,0.0
256,2021-12-20 00:55:23.636647,0.0,0.0
257,2021-12-20 00:55:23.780518,0.0,1.0
258,2021-12-20 00:55:23.944191,0.0,1.0
259,2021-12-20 00:55:24.090034,1.0,1.0
260,2021-12-20 00:55:24.262480,1.0,1.0
261,2021-12-20 00:55:24.435116,0.0,0.0
262,2021-12-20 00:55:24.594793,1.0,2.0
263,2021-12-20 00:55:24.733155,0.0,0.0
264,2021-12-20 00:55:24.905798,0.0,0.0
265,2021-12-20 00:55:25.049758,0.0,1.0
266,2021-12-20 00:55:25.216275,0.0,0.0
267,2021-12-20 00:55:25.386941,0.0,1.0
